TIPO,DISTRI,SKU,DESCRIPCIÓN,DESCRIPCIÓN BB,ene.-15,feb.-15,mar.-15,abr.-15,may.-15,jun.-15,jul.-15,ago.-15,sept.-15,oct.-15,nov.-15,dic.-15,ene.-16,feb.-16,mar.-16,abr.-16,may.-16,jun.-16,jul.-16,ago.-16,sept.-16,oct.-16,nov.-16,dic.-16,ene.-17,feb.-17,mar.-17,abr.-17,may.-17,jun.-17,jul.-17,ago.-17,sept.-17,oct.-17,nov.-17,dic.-17,ene.-18,feb.-18,mar.-18,abr.-18,may.-18,jun.-18,jul.-18,ago.-18,sept.-18,oct.-18,nov.-18,dic.-18,ene.-19,feb.-19,mar.-19,abr.-19,may.-19,jun.-19,jul.-19,ago.-19,sept.-19,oct.-19,nov.-19,dic.-19,0
VENTAS,DISTRIBUIDOR11,7000,AGUA12SG,PLAN Vta Trade,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
VENTAS,DISTRIBUIDOR12,7000,AGUA12SG,PLAN Vta Trade,  8.664 ,  6.456 ,  6.984 ,  9.996 ,  8.388 ,  7.152 ,  10.056 ,  6.198 ,  4.200 ,  8.800 ,  8.220 ,  6.966 ,  8.640 ,  5.971 ,  5.508 ,  6.483 ,  6.455 ,  5.817 ,  5.169 ,  5.868 ,  4.256 ,  5.220 ,  4.812 ,  2.928 ,  3.060 ,  3.996 ,  4.320 ,  4.140 ,  3.730 ,  2.940 ,  1.939 ,  192 ,  2.616 ,  3.575 ,  4.008 ,  1.740 ,  1.344 ,  3.432 ,  2.976 ,  1.596 ,  2.304 ,  1.164 ,  1.152 ,  2.376 ,  780 ,  1.056 ,  852 ,  1.020 ,  1.716 ,  936 ,  1.344 ,  1.608 ,  912 ,  840 ,  -   ,  816 ,  120 ,- 24 ,  12 ,  -   ,
VENTAS,DISTRIBUIDOR13,7000,AGUA12SG,PLAN Vta Trade,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
VENTAS,DISTRIBUIDOR14,7000,AGUA12SG,PLAN Vta Trade,  7.824 ,  7.656 ,  9.084 ,  10.692 ,  10.224 ,  11.940 ,  13.068 ,  12.179 ,  12.168 ,  16.412 ,  16.704 ,  22.302 ,  14.976 ,  19.411 ,  11.316 ,  11.820 ,  15.968 ,  14.488 ,  10.301 ,  14.232 ,  5.371 ,  9.972 ,  9.504 ,  10.908 ,  9.108 ,  11.340 ,  8.160 ,  3.844 ,  3.706 ,  6.312 ,  4.812 ,  612 ,  6.348 ,  8.818 ,  4.872 ,  8.556 ,  9.552 ,  8.532 ,  8.124 ,  7.956 ,  8.856 ,  6.720 ,  2.316 ,  6.600 ,  6.228 ,  5.856 ,  960 ,  3.408 ,  2.976 ,  2.940 ,  2.988 ,  4.188 ,  2.904 ,  1.620 ,  1.788 ,  1.704 ,  816 ,  1.812 ,  2.772 ,  468 ,
VENTAS,DISTRIBUIDOR15,7000,AGUA12SG,PLAN Vta Trade,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
VENTAS,DISTRIBUIDOR16,7000,AGUA12SG,PLAN Vta Trade,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
VENTAS,DISTRIBUIDOR17,7000,AGUA12SG,PLAN Vta Trade,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  36 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
VENTAS,DISTRIBUIDOR18,7000,AGUA12SG,PLAN Vta Trade,  1.884 ,  1.428 ,  1.572 ,  1.980 ,  1.944 ,  2.028 ,  2.328 ,  1.682 ,  1.944 ,  2.101 ,  2.412 ,  4.053 ,  5.604 ,  5.024 ,  3.420 ,  2.221 ,  2.829 ,  2.237 ,  2.498 ,  2.748 ,  1.846 ,  336 ,  444 ,  1.416 ,  2.040 ,  1.032 ,  1.680 ,  1.269 ,  1.676 ,  576 ,  863 ,  204 ,  1.044 ,  1.275 ,  1.224 ,  1.860 ,  1.728 ,  2.184 ,  1.620 ,  1.428 ,  1.452 ,  984 ,  792 ,  1.200 ,  996 ,  1.248 ,  384 ,  792 ,  660 ,  828 ,  732 ,  576 ,  732 ,  372 ,  -   ,  672 ,  -   ,  264 ,  -   ,  -   ,
VENTAS,DISTRIBUIDOR19,7000,AGUA12SG,PLAN Vta Trade,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
VENTAS,DISTRIBUIDOR1,7001,AGUA20SG,PLAN Vta Trade,  56.489 ,  58.929 ,  67.457 ,  51.164 ,  46.445 ,  44.532 ,  42.485 ,  52.954 ,  41.296 ,  54.286 ,  64.337 ,  62.124 ,  59.431 ,  59.426 ,  65.145 ,  45.114 ,  46.488 ,  50.575 ,  46.877 ,  50.003 ,  52.040 ,  58.102 ,  62.015 ,  64.973 ,  64.426 ,  56.714 ,  63.571 ,  47.168 ,  50.377 ,  48.765 ,  67.780 ,  46.102 ,  50.899 ,  51.143 ,  68.551 ,  66.741 ,  66.838 ,  56.440 ,  61.340 ,  53.540 ,  53.520 ,  46.040 ,  42.060 ,  45.920 ,  51.200 ,  58.800 ,  64.980 ,  52.040 ,  54.580 ,  58.620 ,  57.820 ,  48.640 ,  50.500 ,  43.180 ,  44.580 ,  48.460 ,  52.320 ,  56.080 ,  68.140 ,  57.580 ,
